user,dataID,filename,Question_1_1_1,Question_2_1_1,Question_2_2_1,Question_3_1_1,Question_3_2_1,Question_4_1_1,Question_4_2_1,Question_4_3_1,Question_4_4_1_5_2_1,Question_5_3_1,Question_5_5_1,Question_6_1_1,Question_6_4_1,Question_6_5_1_5_4_1,Question_6_6_1_5_1_1,Question_7_1_1,Question_7_2_1,Question_8_1_1,Question_9_1_1,Question_9_2_1,message
203,19,Schubert_D935_no.3_4bars_Score_50.wav,5.0,1.0,5.0,3.0,4.0,1.0,2.0,5.0,5.0,6.0,2.0,4.0,2.0,4.0,3.0,5.0,1.0,2.0,2.0,,
203,20,Schubert_D935_no.3_4bars_12_29.wav,5.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,6.0,5.0,6.0,2.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,,
203,21,Beethoven_WoO80_var18_8bars_1_12.wav,2.0,1.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,,
203,22,Beethoven_WoO80_var10_8bars_3_8.wav,2.0,3.0,5.0,5.0,3.0,2.0,3.0,5.0,6.0,6.0,4.0,2.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,,
203,23,Beethoven_WoO80_var25_8bars_22_14.wav,1.0,4.0,2.0,4.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,3.0,5.0,6.0,2.0,5.0,4.0,3.0,4.0,,
203,24,Beethoven_WoO80_var3_8bars_1_2.wav,1.0,4.0,5.0,3.0,1.0,2.0,6.0,6.0,3.0,4.0,3.0,2.0,5.0,6.0,3.0,3.0,4.0,4.0,4.0,,
203,25,Beethoven_WoO80_thema_8bars_26_1.wav,4.0,5.0,5.0,2.0,1.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,,
203,26,Beethoven_WoO80_var18_8bars_22_12.wav,3.0,2.0,6.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,2.0,2.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,,
203,27,Beethoven_WoO80_var3_8bars_2_2.wav,2.0,4.0,2.0,3.0,1.0,3.0,5.0,3.0,4.0,2.0,4.0,3.0,5.0,6.0,5.0,2.0,4.0,4.0,5.0,,
203,28,Schubert_D935_no.3_4bars_Score_1.wav,1.0,1.0,6.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,,
203,29,Schubert_D935_no.3_4bars_Score2_9.wav,2.0,2.0,6.0,3.0,1.0,1.0,2.0,1.0,5.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,,
203,30,Schubert_D935_no.3_4bars_Score2_42.wav,1.0,6.0,1.0,4.0,2.0,5.0,5.0,1.0,2.0,3.0,5.0,2.0,4.0,5.0,4.0,1.0,6.0,5.0,6.0,,
203,31,Beethoven_WoO80_var15_8bars_Score2_10.wav,1.0,1.0,7.0,1.0,2.0,1.0,1.0,3.0,7.0,6.0,1.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,,
203,32,Beethoven_WoO80_var4_8bars_22_3.wav,1.0,3.0,3.0,2.0,1.0,4.0,3.0,6.0,5.0,2.0,5.0,2.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,,
203,33,Schubert_D935_no.3_4bars_6_37.wav,2.0,4.0,5.0,5.0,6.0,3.0,5.0,5.0,6.0,6.0,5.0,2.0,5.0,3.0,6.0,4.0,5.0,5.0,4.0,,
203,34,Beethoven_WoO80_var8_8bars_26_6.wav,2.0,3.0,5.0,6.0,5.0,3.0,6.0,6.0,5.0,6.0,4.0,3.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,,
203,35,Schubert_D935_no.3_4bars_12_1.wav,5.0,2.0,5.0,3.0,5.0,4.0,5.0,5.0,6.0,5.0,4.0,3.0,5.0,3.0,5.0,3.0,6.0,5.0,4.0,,
203,36,Beethoven_WoO80_var15_8bars_22_10.wav,1.0,2.0,4.0,5.0,4.0,3.0,5.0,6.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,,
203,37,Schubert_D935_no.3_4bars_13_46.wav,5.0,5.0,3.0,5.0,5.0,6.0,7.0,2.0,3.0,2.0,6.0,2.0,6.0,4.0,7.0,2.0,7.0,6.0,6.0,,
203,38,Beethoven_WoO80_var10_8bars_24_8.wav,1.0,3.0,4.0,4.0,3.0,2.0,5.0,6.0,4.0,5.0,3.0,2.0,4.0,5.0,4.0,6.0,5.0,3.0,5.0,,
203,39,Beethoven_WoO80_thema_8bars_11_1.wav,5.0,4.0,6.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,,
203,40,Beethoven_WoO80_var30_8bars_2_17.wav,1.0,2.0,5.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,5.0,6.0,2.0,5.0,3.0,2.0,4.0,,
203,41,Beethoven_WoO80_var10_8bars_22_8.wav,2.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,2.0,1.0,5.0,5.0,3.0,4.0,5.0,2.0,5.0,,
203,42,Beethoven_WoO80_var23_8bars_24_13.wav,2.0,5.0,2.0,5.0,3.0,4.0,5.0,4.0,2.0,2.0,4.0,4.0,5.0,6.0,3.0,4.0,4.0,4.0,6.0,,
203,43,Schubert_D935_no.3_4bars_13_9.wav,3.0,6.0,3.0,6.0,4.0,5.0,6.0,2.0,1.0,2.0,5.0,3.0,6.0,5.0,6.0,3.0,5.0,6.0,6.0,,
203,44,Schubert_D935_no.3_4bars_Score2_29.wav,1.0,2.0,7.0,5.0,5.0,1.0,2.0,3.0,7.0,6.0,5.0,1.0,4.0,3.0,6.0,5.0,6.0,3.0,2.0,,
203,45,Beethoven_WoO80_var3_8bars_7_2.wav,1.0,3.0,4.0,5.0,3.0,4.0,5.0,6.0,6.0,6.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,,
203,46,Beethoven_WoO80_var30_8bars_14_17.wav,4.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,2.0,1.0,4.0,5.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,,
203,47,Beethoven_WoO80_var30_8bars_19_17.wav,2.0,4.0,3.0,4.0,3.0,5.0,6.0,4.0,3.0,3.0,6.0,4.0,6.0,5.0,5.0,4.0,2.0,4.0,4.0,,
203,48,Beethoven_WoO80_var3_8bars_Score2_2.wav,1.0,2.0,5.0,5.0,4.0,3.0,4.0,5.0,6.0,6.0,4.0,3.0,5.0,3.0,5.0,5.0,6.0,4.0,5.0,,
203,49,Beethoven_WoO80_var23_8bars_11_13.wav,3.0,5.0,3.0,6.0,4.0,5.0,6.0,5.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,6.0,,
203,50,Schubert_D935_no.3_4bars_12_42.wav,5.0,6.0,4.0,6.0,6.0,4.0,5.0,2.0,3.0,2.0,5.0,1.0,5.0,5.0,6.0,3.0,6.0,6.0,5.0,,
203,51,Beethoven_WoO80_var30_8bars_4_17.wav,3.0,2.0,5.0,5.0,4.0,5.0,6.0,5.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0,,
203,52,Beethoven_WoO80_var6_8bars_2_5.wav,2.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,6.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,,
203,53,Beethoven_WoO80_var5_8bars_3_4.wav,2.0,4.0,2.0,6.0,5.0,3.0,6.0,5.0,3.0,3.0,5.0,3.0,6.0,4.0,5.0,4.0,4.0,6.0,5.0,,
203,54,Beethoven_WoO80_var9_8bars_24_7.wav,3.0,6.0,3.0,5.0,3.0,5.0,6.0,5.0,2.0,1.0,4.0,3.0,6.0,7.0,5.0,4.0,5.0,5.0,7.0,,
203,55,Schubert_D935_no.3_4bars_Score_21.wav,2.0,3.0,6.0,2.0,1.0,2.0,3.0,2.0,7.0,5.0,4.0,3.0,2.0,2.0,3.0,6.0,5.0,2.0,3.0,,
203,56,Beethoven_WoO80_var9_8bars_3_7.wav,3.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,2.0,5.0,3.0,3.0,5.0,,
203,57,Schubert_D935_no.3_4bars_2_17.wav,5.0,3.0,6.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,5.0,1.0,5.0,3.0,5.0,2.0,6.0,5.0,3.0,,
203,58,Schubert_D935_no.3_4bars_Score2_33.wav,1.0,4.0,2.0,5.0,4.0,5.0,6.0,2.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,1.0,7.0,4.0,3.0,,
203,59,Schubert_D935_no.3_4bars_13_17.wav,6.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,6.0,5.0,6.0,2.0,5.0,4.0,5.0,3.0,6.0,4.0,4.0,,
203,60,Beethoven_WoO80_var28_8bars_24_16.wav,3.0,4.0,3.0,6.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,6.0,5.0,,
203,61,Beethoven_WoO80_var15_8bars_11_10.wav,3.0,3.0,2.0,5.0,4.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,6.0,6.0,4.0,3.0,4.0,4.0,5.0,,
203,62,Beethoven_WoO80_var18_8bars_7_12.wav,2.0,4.0,5.0,5.0,4.0,3.0,6.0,3.0,4.0,6.0,3.0,3.0,5.0,6.0,5.0,5.0,4.0,3.0,4.0,,
203,63,Beethoven_WoO80_var27_8bars_7_15.wav,4.0,3.0,6.0,4.0,3.0,3.0,5.0,6.0,7.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,,
203,64,Beethoven_WoO80_var25_8bars_24_14.wav,1.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,,
203,65,Beethoven_WoO80_var9_8bars_2_7.wav,3.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,2.0,3.0,5.0,4.0,6.0,5.0,6.0,5.0,4.0,5.0,6.0,,
203,66,Beethoven_WoO80_var17_8bars_18_11.wav,4.0,5.0,2.0,6.0,4.0,3.0,7.0,5.0,2.0,2.0,4.0,4.0,5.0,6.0,7.0,5.0,3.0,6.0,7.0,,
203,67,Beethoven_WoO80_var15_8bars_2_10.wav,3.0,4.0,3.0,6.0,5.0,3.0,5.0,3.0,2.0,3.0,4.0,4.0,5.0,6.0,6.0,3.0,3.0,5.0,6.0,,
203,68,Schubert_D935_no.3_4bars_1_42.wav,5.0,5.0,2.0,6.0,5.0,4.0,6.0,2.0,1.0,3.0,4.0,1.0,4.0,3.0,5.0,2.0,6.0,6.0,4.0,,
203,69,Beethoven_WoO80_var17_8bars_24_11.wav,2.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,,
203,70,Schubert_D935_no.3_4bars_3_29.wav,5.0,5.0,6.0,3.0,3.0,4.0,5.0,5.0,6.0,2.0,6.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,,
203,71,Schubert_D935_no.3_4bars_9_29.wav,6.0,7.0,2.0,6.0,5.0,5.0,6.0,5.0,6.0,3.0,5.0,5.0,6.0,3.0,7.0,3.0,5.0,6.0,4.0,,
203,72,Beethoven_WoO80_var25_8bars_26_14.wav,3.0,3.0,2.0,5.0,6.0,4.0,5.0,6.0,2.0,3.0,5.0,4.0,5.0,4.0,6.0,5.0,4.0,6.0,4.0,,
203,73,Schubert_D935_no.3_4bars_1_1.wav,5.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,,
203,74,Beethoven_WoO80_var15_8bars_18_10.wav,4.0,5.0,5.0,6.0,4.0,3.0,5.0,4.0,3.0,2.0,5.0,4.0,5.0,3.0,6.0,4.0,3.0,6.0,5.0,,
203,75,Schubert_D935_no.3_4bars_13_13.wav,2.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,5.0,6.0,5.0,,
203,76,Schubert_D935_no.3_4bars_6_5.wav,5.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,,
203,77,Beethoven_WoO80_var5_8bars_14_4.wav,5.0,2.0,5.0,6.0,5.0,2.0,6.0,6.0,3.0,4.0,3.0,6.0,6.0,3.0,4.0,3.0,2.0,6.0,3.0,,
203,78,Beethoven_WoO80_var17_8bars_1_11.wav,3.0,5.0,3.0,5.0,6.0,5.0,7.0,5.0,1.0,2.0,5.0,4.0,6.0,7.0,5.0,5.0,4.0,6.0,7.0,,
203,79,Beethoven_WoO80_var3_8bars_19_2.wav,2.0,3.0,6.0,5.0,6.0,3.0,5.0,6.0,6.0,5.0,3.0,2.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,,
203,80,Schubert_D935_no.3_4bars_Score2_17.wav,1.0,1.0,7.0,2.0,1.0,3.0,2.0,3.0,6.0,6.0,1.0,3.0,2.0,1.0,2.0,5.0,6.0,1.0,2.0,,
203,81,Beethoven_WoO80_var15_8bars_19_10.wav,4.0,6.0,5.0,6.0,3.0,5.0,6.0,3.0,2.0,2.0,4.0,3.0,5.0,6.0,5.0,3.0,5.0,6.0,5.0,,
203,82,Beethoven_WoO80_var18_8bars_11_12.wav,2.0,3.0,5.0,6.0,5.0,2.0,5.0,3.0,6.0,5.0,3.0,2.0,5.0,4.0,5.0,5.0,6.0,5.0,4.0,,
203,83,Beethoven_WoO80_var8_8bars_24_6.wav,5.0,6.0,5.0,6.0,6.0,4.0,5.0,3.0,3.0,2.0,6.0,3.0,5.0,6.0,6.0,3.0,5.0,6.0,7.0,,
203,84,Beethoven_WoO80_var17_8bars_22_11.wav,5.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,2.0,1.0,2.0,5.0,6.0,7.0,6.0,4.0,3.0,6.0,6.0,,
203,85,Schubert_D935_no.3_4bars_6_1.wav,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,,
203,86,Beethoven_WoO80_var4_8bars_7_3.wav,1.0,2.0,6.0,3.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0,4.0,,
203,87,Beethoven_WoO80_var28_8bars_7_16.wav,4.0,5.0,2.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,5.0,5.0,,
203,88,Schubert_D935_no.3_4bars_3_17.wav,5.0,2.0,6.0,3.0,2.0,3.0,3.0,4.0,6.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,,
203,89,Schubert_D935_no.3_4bars_Score2_13.wav,1.0,2.0,6.0,1.0,1.0,1.0,2.0,3.0,6.0,7.0,1.0,4.0,1.0,4.0,2.0,5.0,2.0,1.0,2.0,,
203,90,Schubert_D935_no.3_4bars_3_21.wav,5.0,1.0,5.0,4.0,6.0,5.0,3.0,3.0,6.0,6.0,1.0,3.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,,
203,91,Beethoven_WoO80_var6_8bars_3_5.wav,2.0,2.0,6.0,5.0,5.0,2.0,3.0,4.0,7.0,6.0,3.0,3.0,5.0,3.0,3.0,5.0,6.0,3.0,3.0,,
203,92,Beethoven_WoO80_var8_8bars_14_6.wav,5.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,6.0,4.0,4.0,3.0,5.0,5.0,4.0,,
203,93,Beethoven_WoO80_var17_8bars_3_11.wav,3.0,4.0,5.0,6.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,,
203,94,Beethoven_WoO80_var8_8bars_18_6.wav,4.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,5.0,4.0,6.0,5.0,3.0,3.0,4.0,4.0,5.0,,
203,95,Beethoven_WoO80_var18_8bars_26_12.wav,1.0,2.0,6.0,5.0,6.0,3.0,6.0,5.0,6.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,6.0,3.0,6.0,,
203,96,Schubert_D935_no.3_4bars_Score2_37.wav,3.0,2.0,5.0,3.0,4.0,2.0,4.0,3.0,6.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,,
203,97,Beethoven_WoO80_var4_8bars_11_3.wav,2.0,3.0,5.0,3.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,4.0,6.0,7.0,3.0,3.0,4.0,3.0,7.0,,
203,98,Beethoven_WoO80_var27_8bars_4_15.wav,1.0,2.0,6.0,4.0,2.0,3.0,4.0,5.0,6.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,6.0,2.0,4.0,,
203,99,Beethoven_WoO80_var8_8bars_19_6.wav,5.0,5.0,2.0,5.0,3.0,5.0,6.0,3.0,4.0,2.0,6.0,4.0,6.0,5.0,6.0,3.0,5.0,6.0,7.0,,
203,100,Beethoven_WoO80_var6_8bars_26_5.wav,5.0,1.0,6.0,2.0,1.0,3.0,2.0,5.0,5.0,6.0,2.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,4.0,,
203,101,Schubert_D935_no.3_4bars_Score_5.wav,2.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,6.0,6.0,3.0,3.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,,
203,102,Beethoven_WoO80_var28_8bars_22_16.wav,3.0,5.0,2.0,5.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,5.0,5.0,6.0,6.0,5.0,3.0,7.0,7.0,,
203,103,Beethoven_WoO80_var23_8bars_4_13.wav,5.0,4.0,4.0,5.0,4.0,5.0,6.0,7.0,3.0,3.0,2.0,5.0,4.0,5.0,3.0,5.0,2.0,5.0,6.0,,
203,104,Beethoven_WoO80_thema_8bars_7_1.wav,2.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,,
203,105,Beethoven_WoO80_var9_8bars_7_7.wav,3.0,4.0,3.0,5.0,4.0,5.0,6.0,5.0,3.0,2.0,4.0,4.0,5.0,6.0,3.0,5.0,2.0,5.0,6.0,,
203,106,Beethoven_WoO80_var18_8bars_14_12.wav,1.0,2.0,6.0,7.0,6.0,4.0,5.0,3.0,7.0,5.0,3.0,4.0,6.0,3.0,3.0,5.0,5.0,3.0,4.0,,
203,107,Beethoven_WoO80_var3_8bars_Score_2.wav,1.0,3.0,5.0,4.0,4.0,2.0,3.0,5.0,6.0,5.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,,
203,108,Beethoven_WoO80_var3_8bars_24_2.wav,2.0,3.0,4.0,5.0,4.0,6.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,,
203,109,Beethoven_WoO80_var5_8bars_19_4.wav,4.0,4.0,5.0,5.0,6.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,,
203,110,Schubert_D935_no.3_4bars_9_25.wav,6.0,5.0,3.0,5.0,5.0,6.0,7.0,5.0,2.0,3.0,5.0,4.0,6.0,3.0,6.0,5.0,5.0,6.0,6.0,,
203,111,Schubert_D935_no.3_4bars_3_1.wav,4.0,4.0,3.0,5.0,4.0,5.0,6.0,3.0,3.0,2.0,5.0,4.0,5.0,3.0,6.0,3.0,4.0,7.0,5.0,,
203,112,Schubert_D935_no.3_4bars_2_21.wav,4.0,3.0,5.0,6.0,6.0,3.0,4.0,3.0,5.0,6.0,2.0,2.0,4.0,3.0,5.0,3.0,6.0,6.0,3.0,,
203,113,Schubert_D935_no.3_4bars_12_17.wav,5.0,2.0,4.0,6.0,7.0,3.0,5.0,3.0,5.0,6.0,5.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,,
203,114,Schubert_D935_no.3_4bars_13_1.wav,6.0,5.0,3.0,5.0,4.0,5.0,6.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,3.0,4.0,5.0,5.0,,
203,115,Beethoven_WoO80_var10_8bars_14_8.wav,4.0,2.0,5.0,6.0,6.0,3.0,4.0,5.0,6.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,,
203,116,Beethoven_WoO80_var3_8bars_3_2.wav,2.0,2.0,5.0,4.0,3.0,2.0,3.0,3.0,5.0,6.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,,
203,117,Beethoven_WoO80_thema_8bars_19_1.wav,5.0,3.0,6.0,6.0,5.0,5.0,3.0,5.0,6.0,5.0,5.0,4.0,5.0,3.0,3.0,6.0,5.0,3.0,4.0,,
203,118,Beethoven_WoO80_var4_8bars_24_3.wav,1.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,3.0,6.0,4.0,5.0,6.0,5.0,3.0,5.0,4.0,6.0,,
203,119,Beethoven_WoO80_thema_8bars_Score_1.wav,3.0,2.0,6.0,1.0,1.0,3.0,2.0,3.0,6.0,5.0,6.0,3.0,2.0,3.0,3.0,5.0,6.0,2.0,2.0,,
203,120,Beethoven_WoO80_var27_8bars_3_15.wav,2.0,1.0,5.0,4.0,3.0,2.0,3.0,6.0,7.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,6.0,3.0,3.0,,
203,121,Beethoven_WoO80_var12_8bars_7_9.wav,1.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,5.0,5.0,6.0,5.0,5.0,3.0,2.0,5.0,5.0,,
203,122,Schubert_D935_no.3_4bars_Score2_1.wav,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,1.0,4.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,,
203,123,Beethoven_WoO80_var17_8bars_26_11.wav,4.0,5.0,5.0,7.0,6.0,5.0,6.0,3.0,5.0,3.0,4.0,4.0,6.0,5.0,4.0,3.0,2.0,5.0,5.0,,
203,124,Beethoven_WoO80_var15_8bars_4_10.wav,2.0,3.0,3.0,5.0,3.0,6.0,5.0,2.0,4.0,2.0,5.0,4.0,3.0,6.0,5.0,3.0,5.0,3.0,4.0,,
203,125,Beethoven_WoO80_var18_8bars_24_12.wav,1.0,5.0,4.0,5.0,6.0,5.0,4.0,3.0,6.0,5.0,3.0,3.0,4.0,5.0,2.0,5.0,6.0,2.0,4.0,,
203,126,Schubert_D935_no.3_4bars_12_46.wav,5.0,5.0,3.0,6.0,7.0,5.0,6.0,3.0,3.0,5.0,6.0,1.0,3.0,3.0,5.0,3.0,5.0,6.0,3.0,,
203,127,Schubert_D935_no.3_4bars_1_9.wav,3.0,3.0,2.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,4.0,4.0,5.0,4.0,,
203,128,Beethoven_WoO80_var10_8bars_7_8.wav,1.0,2.0,6.0,5.0,4.0,2.0,3.0,5.0,6.0,5.0,3.0,2.0,3.0,6.0,1.0,4.0,6.0,2.0,4.0,,
